#;Baixado;Lido;Incluido/Excluido;Title;Authors;Year;Source title;Document Type;Purpose of the Simulation;Types of Simulations;Description of Techniques;Software and Tools;Types of Thermal Stressors;Thermal Stressors Impact Assessment;Simulation's Key Findings;Solutions or Mitigation Strategies;Effectiveness of Solution;Limitations;Future Research Suggestions;;Source;Cited by;DOI;Link
17;;;;Precise evaluation of vehicles emission in urban traffic using multi-agent-based traffic simulator MATES;"Fujii H.; Yoshimura S.";2012;CMES - Computer Modeling in Engineering and Sciences;Article;;;;;;;;;;;;;Scopus;4;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872101161&partnerID=40&md5=ff3b05c2ec4d505b004590fe93178f21
18;;;;Assessing the integration of torrefaction into wood pellet production;"Mobini M.; Meyer J.-C.; Trippe F.; Sowlati T.; Fröhling M.; Schultmann F.";2014;Journal of Cleaner Production;Article;;;;;;;;;;;;;Scopus;66;10.1016/j.jclepro.2014.04.071;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904254823&doi=10.1016%2fj.jclepro.2014.04.071&partnerID=40&md5=57e4895f239061b5b8c3ec940110ba0c
19;;;;Using National Survey Respondents as Consumers in an Agent-Based Model of Plug-In Hybrid Vehicle Adoption;"M. J. Eppstein; D. M. Rizzo; B. H. Y. Lee; J. S. Krupa; N. Manukyan";2015;IEEE Access;Conference paper;;;;;;;;;;;;;IEEE;5;10.1109/ACCESS.2015.2427252;
20;;;;Environmental impacts of adobe as a building material: The north cyprus traditional building case;"Olukoya Obafemi A.P.; Kurt S.";2016;Case Studies in Construction Materials;Article;;;;;;;;;;;;;Scopus;47;10.1016/j.cscm.2015.12.001;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949685248&doi=10.1016%2fj.cscm.2015.12.001&partnerID=40&md5=891f3b90e06e8964e0af8eabe0c08708
21;;;;An agent-based model of the Earth system & climate change;"Y. Baghoussi; P. J. R. M. Campos; R. J. F. Rossetti";2016;2016 IEEE International Smart Cities Conference (ISC2);Article;Educational and simulation tool for climate change awareness and Test-bed for evaluating Earth system theories, focusing on greenhouse gases and climate change;Agent-based model;;NetLogo;"Impact of sun brightness, landscape changes, population, tree density, emissions, and greenhouse gases. Focus on CO2 and CH4 emissions’ effects on global warming
";;;;;;;;IEEE;0;10.1109/ISC2.2016.7580788;
22;;;;Forecast of thermokarst lakes dynamics in permafrost based on geo-simulation modeling and remote sensing data;"Polishchuk Y.; Polishchuk V.";2017;CEUR Workshop Proceedings;Conference paper;;;;;;;;;;;;;Scopus;2;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020503299&partnerID=40&md5=f5596b878bd9e63141c18875187bc03e
23;;;;Mesoscopic urban-traffic simulation based on mobility behavior to calculate NOx emissions caused by private motorized transport;"Plakolb S.; Jäger G.; Hofer C.; Füllsack M.";2019;Atmosphere;Article;;;;;;;;;;;;;Scopus;10;10.3390/atmos10060293;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068882593&doi=10.3390%2fatmos10060293&partnerID=40&md5=81febc4c7447882b2b08a7d421309611
24;;;;Multi-agent based and system dynamics models integrated simulation of urban commuting relevant carbon dioxide emission reduction policy in China;"Wang H.; Cao R.; Zeng W.";2020;Journal of Cleaner Production;Article;;;;;;;;;;;;;Scopus;22;10.1016/j.jclepro.2020.122620;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088220282&doi=10.1016%2fj.jclepro.2020.122620&partnerID=40&md5=171efa0f8199dc70d92e7a22ac2c81d6
25;;;;A comparative assessment of CO2 emission between gasoline, electric, and hybrid vehicles: A Well-To-Wheel perspective using agent-based modeling;"Rahman M.M.; Zhou Y.; Rogers J.; Chen V.; Sattler M.; Hyun K.";2021;Journal of Cleaner Production;Article;;;;;;;;;;;;;Scopus;21;10.1016/j.jclepro.2021.128931;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114795419&doi=10.1016%2fj.jclepro.2021.128931&partnerID=40&md5=2f8353f3125aa21ab557f528fc8df25c
26;;;;Do energy use and economic policy uncertainty affect CO2 emissions in China? Empirical evidence from the dynamic ARDL simulation approach;"Abbasi K.R.; Adedoyin F.F.";2021;Environmental Science and Pollution Research;Article;;;;;;;;;;;;;Scopus;104;10.1007/s11356-020-12217-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099456054&doi=10.1007%2fs11356-020-12217-6&partnerID=40&md5=8658ff62e6c225b4c802b7307cebbb39
27;;;;Simulation and techno-economic analysis of a power-to-hydrogen process for oxyfuel glass melting;"Gärtner S.; Rank D.; Heberl M.; Gaderer M.; Dawoud B.; Haumer A.; Sterner M.";2021;Energies;Article;;;;;;;;;;;;;Scopus;7;10.3390/en14248603;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121550976&doi=10.3390%2fen14248603&partnerID=40&md5=2ed42ec0b66f9f8c1bf1b68687a052ea
28;;;;A collaborative predictive multi-agent system for forecasting carbon emissions related to energy consumption;"Bouziane S.E.; Khadir M.T.; Dugdale J.";2021;Multiagent and Grid Systems;Article;;;;;;;;;;;;;Scopus;5;10.3233/MGS-210342;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105021316&doi=10.3233%2fMGS-210342&partnerID=40&md5=a235fc2b81187b1cb022380c85b2fd34
29;;;;International Regulation Design for Reduction of GHG Emission in Maritime Shipping by Agent-Based Simulation;"Nonomura K.; Hiekata K.; Yoshida J.";2022;Advances in Transdisciplinary Engineering;Conference paper;;;;;;;;;;;;;Scopus;0;10.3233/ATDE220648;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142148622&doi=10.3233%2fATDE220648&partnerID=40&md5=7a2dea9728f731f53129e782ae9f87c6
30;;;;Simulation of urban transport carbon dioxide emission reduction environment economic policy in China: An integrated approach using agent-based modelling and system dynamics;"Wang H.; Shi W.; He W.; Xue H.; Zeng W.";2023;Journal of Cleaner Production;Article;;;;;;;;;;;;;Scopus;4;10.1016/j.jclepro.2023.136221;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147324827&doi=10.1016%2fj.jclepro.2023.136221&partnerID=40&md5=900b1413efd22721cd323a7a15431f71
31;;;;Can public–private partnership investment in energy (PPPI) mitigate CO2 emissions in South Africa? Fresh evidence from the novel dynamic ARDL simulations approach;"Udeagha M.C.; Ngepah N.";2023;Frontiers in Environmental Science;Article;;;;;;;;;;;;;Scopus;14;10.3389/fenvs.2022.1044605;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147126733&doi=10.3389%2ffenvs.2022.1044605&partnerID=40&md5=6ece07a18e2c7ed6460f1cae65cb8a94
32;;;;Investigation of Mechanical Properties of Torrefied Corncob and Rice Husk Briquettes: Modeling and Simulation;"Ibitoye S.E.; Mahamood R.M.; Jen T.-C.; Akinlabi E.T.";2023;Lecture Notes in Mechanical Engineering;Conference paper;;;;;;;;;;;;;Scopus;0;10.1007/978-981-19-3307-3_14;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141654605&doi=10.1007%2f978-981-19-3307-3_14&partnerID=40&md5=0e4e844840981e791b44f65313921858
33;;;;CO2 capture with green ionic liquid and deep eutectic solvent: A comparative study;"Ghaed-Sharaf T.; Omidvar A.";2023;Journal of Molecular Liquids;Article;;;;;;;;;;;;;Scopus;2;10.1016/j.molliq.2023.122048;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159229618&doi=10.1016%2fj.molliq.2023.122048&partnerID=40&md5=f31aa8541bb44dd1a7f4700d092f0da8
34;;;;Implications of de-carbonization policies using an innovative urban transport simulator;"Dadashev G.; Levi Y.; Nahmias-Biran B.-H.";2023;Transportation Research Part D: Transport and Environment;Article;;;;;;;;;;;;;Scopus;0;10.1016/j.trd.2023.103754;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159327370&doi=10.1016%2fj.trd.2023.103754&partnerID=40&md5=e0ac0327522f8fbd376dd17e8d4abbb6
35;;;;Nexus between CO2 emissions, renewable energy consumption, militarisation, and economic growth in South Africa: Evidence from using novel dynamic ARDL simulations;Saba C.S.;2023;Renewable Energy;Article;;;;;;;;;;;;;Scopus;7;10.1016/j.renene.2023.01.070;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147114493&doi=10.1016%2fj.renene.2023.01.070&partnerID=40&md5=19f5df9b8e216597ec6b1978e730c8cc
