"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rahman M.M.; Zhou Y.; Rogers J.; Chen V.; Sattler M.; Hyun K.","Rahman, Md Mamunur (57214751100); Zhou, Yuan (57220109303); Rogers, Jamie (56544974500); Chen, Victoria (24342927000); Sattler, Melanie (7006178884); Hyun, Kate (57190497905)","57214751100; 57220109303; 56544974500; 24342927000; 7006178884; 57190497905","A comparative assessment of CO2 emission between gasoline, electric, and hybrid vehicles: A Well-To-Wheel perspective using agent-based modeling","2021","Journal of Cleaner Production","321","","128931","","","","21","10.1016/j.jclepro.2021.128931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114795419&doi=10.1016%2fj.jclepro.2021.128931&partnerID=40&md5=2f8353f3125aa21ab557f528fc8df25c","Article","Final","","Scopus","2-s2.0-85114795419"
"Ramachandran B.; Srivastava S.K.; Edrington C.S.; Cartes D.A.","Ramachandran, Bhuvaneswari (36651432100); Srivastava, Sanjeev K. (57217859402); Edrington, Chris S. (7801360877); Cartes, David A. (6602452196)","36651432100; 57217859402; 7801360877; 6602452196","An intelligent auction scheme for smart grid market using a hybrid immune algorithm","2011","IEEE Transactions on Industrial Electronics","58","10","5675685","4603","4612","9","167","10.1109/TIE.2010.2102319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052357106&doi=10.1109%2fTIE.2010.2102319&partnerID=40&md5=c0bea54c76edc06a15d91cbd48ca45bf","Article","Final","","Scopus","2-s2.0-80052357106"
"Wang H.; Shi W.; He W.; Xue H.; Zeng W.","Wang, Huihui (57190074297); Shi, Wanyang (57728518900); He, Wanlin (58031886200); Xue, Hanyu (58032019500); Zeng, Weihua (8969607600)","57190074297; 57728518900; 58031886200; 58032019500; 8969607600","Simulation of urban transport carbon dioxide emission reduction environment economic policy in China: An integrated approach using agent-based modelling and system dynamics","2023","Journal of Cleaner Production","392","","136221","","","","4","10.1016/j.jclepro.2023.136221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147324827&doi=10.1016%2fj.jclepro.2023.136221&partnerID=40&md5=900b1413efd22721cd323a7a15431f71","Article","Final","","Scopus","2-s2.0-85147324827"
"Hatzopoulou M.; Hao J.Y.; Miller E.J.","Hatzopoulou, Marianne (57194223451); Hao, Jiang Y. (36876115700); Miller, Eric J. (7404491321)","57194223451; 36876115700; 7404491321","Simulating the impacts of household travel on greenhouse gas emissions, urban air quality, and population exposure","2011","Transportation","38","6","","871","887","16","45","10.1007/s11116-011-9362-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80255129736&doi=10.1007%2fs11116-011-9362-9&partnerID=40&md5=43384fc99f5324101c8de0ebd14d6e2e","Article","Final","","Scopus","2-s2.0-80255129736"
"Plakolb S.; Jäger G.; Hofer C.; Füllsack M.","Plakolb, Simon (57209830251); Jäger, Georg (55745714600); Hofer, Christian (57194335613); Füllsack, Manfred (6602545043)","57209830251; 55745714600; 57194335613; 6602545043","Mesoscopic urban-traffic simulation based on mobility behavior to calculate NOx emissions caused by private motorized transport","2019","Atmosphere","10","6","293","","","","10","10.3390/atmos10060293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068882593&doi=10.3390%2fatmos10060293&partnerID=40&md5=81febc4c7447882b2b08a7d421309611","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85068882593"
"Greiner A.","Greiner, Alfred (7103134187)","7103134187","Anthropogenic climate change in a descriptive growth model","2004","Environment and Development Economics","9","5","","645","662","17","7","10.1017/S1355770X04001536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-6944251993&doi=10.1017%2fS1355770X04001536&partnerID=40&md5=17e69d317cf70a64941a25ac2a5bdfdd","Article","Final","","Scopus","2-s2.0-6944251993"
"Udeagha M.C.; Ngepah N.","Udeagha, Maxwell Chukwudi (57200940087); Ngepah, Nicholas (49964219000)","57200940087; 49964219000","Can public–private partnership investment in energy (PPPI) mitigate CO2 emissions in South Africa? Fresh evidence from the novel dynamic ARDL simulations approach","2023","Frontiers in Environmental Science","10","","1044605","","","","14","10.3389/fenvs.2022.1044605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147126733&doi=10.3389%2ffenvs.2022.1044605&partnerID=40&md5=6ece07a18e2c7ed6460f1cae65cb8a94","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147126733"
"Ibitoye S.E.; Mahamood R.M.; Jen T.-C.; Akinlabi E.T.","Ibitoye, Segun E. (57213354842); Mahamood, Rasheedat M. (48361555000); Jen, Tien-Chien (57960414200); Akinlabi, Esther T. (48561117900)","57213354842; 48361555000; 57960414200; 48561117900","Investigation of Mechanical Properties of Torrefied Corncob and Rice Husk Briquettes: Modeling and Simulation","2023","Lecture Notes in Mechanical Engineering","","","","167","175","8","0","10.1007/978-981-19-3307-3_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141654605&doi=10.1007%2f978-981-19-3307-3_14&partnerID=40&md5=0e4e844840981e791b44f65313921858","Conference paper","Final","","Scopus","2-s2.0-85141654605"
"Abbasi K.R.; Adedoyin F.F.","Abbasi, Kashif Raza (57219351051); Adedoyin, Festus Fatai (57212759783)","57219351051; 57212759783","Do energy use and economic policy uncertainty affect CO2 emissions in China? Empirical evidence from the dynamic ARDL simulation approach","2021","Environmental Science and Pollution Research","28","18","","23323","23335","12","104","10.1007/s11356-020-12217-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099456054&doi=10.1007%2fs11356-020-12217-6&partnerID=40&md5=8658ff62e6c225b4c802b7307cebbb39","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85099456054"
"Guo H.; Adhikary D.P.; Ishihara N.; Fujioka M.","Guo, H. (36482867400); Adhikary, D.P. (6701394292); Ishihara, N. (36652866700); Fujioka, M. (14041489400)","36482867400; 6701394292; 36652866700; 14041489400","Coupled strata and gas behaviour in co-extraction of coal and methane","2010","72nd European Association of Geoscientists and Engineers Conference and Exhibition 2010: A New Spring for Geoscience. Incorporating SPE EUROPEC 2010","3","","","1977","1981","4","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78249257598&partnerID=40&md5=dbbf02377471d7e6b0610fd4dfa293ac","Conference paper","Final","","Scopus","2-s2.0-78249257598"
